place_verse_id,reference_id,place_label_id,place_id,place_label,place_label_count,place_verse_sequence,place_verse_notes
GEN 1:1__heaven_1_1,GEN 1:1,heaven_1_1,heaven_1,heaven,1,1,the distinction drawn by the text is between heaven (the abode of stars) and earth (the planet)
GEN 1:1__Earth_1_1,GEN 1:1,Earth_1_1,Earth_1,Earth,1,2,
GEN 1:2__Earth_1_1,GEN 1:2,Earth_1_1,Earth_1,Earth,1,3,
GEN 1:2__waters_1_1,GEN 1:2,waters_1_1,waters_1,waters,1,4,
GEN 1:3__NA,GEN 1:3,NA,NA,NA,,5,
GEN 1:4__NA,GEN 1:4,NA,NA,NA,,6,
GEN 1:5__NA,GEN 1:5,NA,NA,NA,,7,
GEN 1:6__heaven_2_2,GEN 1:6,heaven_2_2,heaven_2,expanse,1,8,
GEN 1:6__waters_1_1,GEN 1:6,waters_1_1,waters_1,waters,3,9,
GEN 1:7__heaven_2_2,GEN 1:7,heaven_2_2,heaven_2,expanse,1,10,
GEN 1:7__waters_1_1,GEN 1:7,waters_1_1,waters_1,waters,2,11,waters above = clouds & waters below = oceans?
GEN 1:8__heaven_2_2,GEN 1:8,heaven_2_2,heaven_2,expanse,1,12,
GEN 1:8__heaven_2_1,GEN 1:8,heaven_2_1,heaven_2,heaven,1,13,
GEN 1:9__waters_1_1,GEN 1:9,waters_1_1,waters_1,waters,1,14,"""waters below the heavens"""
GEN 1:9__earth_2_2,GEN 1:9,earth_2_2,earth_2,dry land,1,15,
GEN 1:10__earth_2_2,GEN 1:10,earth_2_2,earth_2,dry land,1,16,
GEN 1:10__earth_2_2,GEN 1:10,earth_2_2,earth_2,earth,1,17,
GEN 1:10__waters_1_1,GEN 1:10,waters_1_1,waters_1,waters,1,18,
GEN 1:10__waters_1_2,GEN 1:10,waters_1_2,waters_1,sea,1,19,
GEN 1:11__earth_2_2,GEN 1:11,earth_2_2,earth_2,earth,1,20,
GEN 1:12__earth_2_2,GEN 1:12,earth_2_2,earth_2,earth,1,21,
GEN 1:13__NA,GEN 1:13,NA,NA,NA,,22,
GEN 1:14__heaven_1_2,GEN 1:14,heaven_1_2,heaven_1,expanse of the heavens,1,23,
GEN 1:15__heaven_1_2,GEN 1:15,heaven_1_2,heaven_1,expanse of the heavens,1,24,
GEN 1:15__Earth_1_1,GEN 1:15,Earth_1_1,Earth_1,Earth,1,25,
GEN 1:16__NA,GEN 1:16,NA,NA,NA,,26,
GEN 1:17__heaven_1_2,GEN 1:17,heaven_1_2,heaven_1,expanse of the heavens,1,27,
GEN 1:17__Earth_1_1,GEN 1:17,Earth_1_1,Earth_1,Earth,1,28,
GEN 1:18__NA,GEN 1:18,NA,NA,NA,,29,
GEN 1:19__NA,GEN 1:19,NA,NA,NA,,30,
GEN 1:20__Earth_1_1,GEN 1:20,Earth_1_1,Earth_1,Earth,1,31,
GEN 1:20__heaven_2_3,GEN 1:20,heaven_2_3,heaven_2,expanse of the heavens,1,32,
GEN 1:21__NA,GEN 1:21,NA,NA,NA,,33,
GEN 1:22__waters_1_2,GEN 1:22,waters_1_2,waters_1,sea,1,34,
GEN 1:22__earth_2_2,GEN 1:22,earth_2_2,earth_2,earth,1,35,
GEN 1:23__NA,GEN 1:23,NA,NA,NA,,36,
GEN 1:24__earth_2_2,GEN 1:24,earth_2_2,earth_2,earth,2,37,"earth, beasts of the earth"
GEN 1:25__earth_2_2,GEN 1:25,earth_2_2,earth_2,earth,1,38,beasts of the earth
GEN 1:26__waters_1_2,GEN 1:26,waters_1_2,waters_1,sea,1,39,fish of the sea
GEN 1:26__heaven_2_4,GEN 1:26,heaven_2_4,heaven_2,sky,1,40,birds of the sky
GEN 1:26__earth_2_2,GEN 1:26,earth_2_2,earth_2,earth,2,41,
GEN 1:27__NA,GEN 1:27,NA,NA,NA,,42,
GEN 1:28__Earth_1_1,GEN 1:28,Earth_1_1,Earth_1,Earth,1,43,
GEN 1:28__waters_1_2,GEN 1:28,waters_1_2,waters_1,sea,1,44,fish of the sea
GEN 1:28__heaven_2_4,GEN 1:28,heaven_2_4,heaven_2,sky,1,45,birds of the sky
GEN 1:28__earth_2_2,GEN 1:28,earth_2_2,earth_2,earth,1,46,
GEN 1:29__Earth_1_1,GEN 1:29,Earth_1_1,Earth_1,Earth,1,47,
GEN 1:30__earth_2_2,GEN 1:30,earth_2_2,earth_2,earth,1,48,beast of the earth
GEN 1:30__heaven_2_4,GEN 1:30,heaven_2_4,heaven_2,sky,1,49,birds of the sky
GEN 1:31__NA,GEN 1:31,NA,NA,NA,,50,
GEN 2:1__heaven_1_1,GEN 2:1,heaven_1_1,heaven_1,heaven,1,51,the context suggests both the heavens
GEN 2:1__heaven_2_1,GEN 2:1,heaven_2_1,heaven_2,heaven,1,52,the context suggests both the heavens
GEN 2:1__Earth_1_1,GEN 2:1,Earth_1_1,Earth_1,Earth,1,53,
GEN 2:2__NA,GEN 2:2,NA,NA,NA,,54,
GEN 2:3__NA,GEN 2:3,NA,NA,NA,,55,
GEN 2:4__heaven_1_1,GEN 2:4,heaven_1_1,heaven_1,heaven,2,56,the context suggests both the heavens
GEN 2:4__heaven_2_1,GEN 2:4,heaven_2_1,heaven_2,heaven,1,57,the context suggests both the heavens
GEN 2:4__Earth_1_1,GEN 2:4,Earth_1_1,Earth_1,Earth,2,58,
GEN 2:5__earth_2_2,GEN 2:5,earth_2_2,earth_2,earth,2,59,
GEN 2:6__earth_2_2,GEN 2:6,earth_2_2,earth_2,earth,1,60,
GEN 2:7__NA,GEN 2:7,NA,NA,NA,,61,
GEN 2:8__The Garden_1_1,GEN 2:8,The Garden_1_1,The Garden_1,garden,1,62,
GEN 2:8__Eden_1_1,GEN 2:8,Eden_1_1,Eden_1,Eden,1,63,
GEN 2:9__The Garden_1_1,GEN 2:9,The Garden_1_1,The Garden_1,garden,1,64,
GEN 2:10__Eden_1_1,GEN 2:10,Eden_1_1,Eden_1,Eden,1,65,
GEN 2:10__The Garden_1_1,GEN 2:10,The Garden_1_1,The Garden_1,garden,1,66,
GEN 2:11__Pishon_1_1,GEN 2:11,Pishon_1_1,Pishon_1,Pishon,1,67,
GEN 2:11__Havilah_1_1,GEN 2:11,Havilah_1_1,Havilah_1,Havilah,1,68,
GEN 2:12__NA,GEN 2:12,NA,NA,NA,,69,
GEN 2:13__Gihon_1_1,GEN 2:13,Gihon_1_1,Gihon_1,Gihon,1,70,
GEN 2:13__Cush_1_1,GEN 2:13,Cush_1_1,Cush_1,Cush,1,71,
GEN 2:14__Tigris_1_1,GEN 2:14,Tigris_1_1,Tigris_1,Tigris,1,72,
GEN 2:14__Assyria_1_1,GEN 2:14,Assyria_1_1,Assyria_1,Assyria,1,73,
GEN 2:14__Euphrates_1_1,GEN 2:14,Euphrates_1_1,Euphrates_1,Euphrates,1,74,
GEN 2:15__The Garden_1_2,GEN 2:15,The Garden_1_2,The Garden_1,the garden of Eden,1,75,
GEN 2:16__The Garden_1_1,GEN 2:16,The Garden_1_1,The Garden_1,garden,1,76,
GEN 2:17__NA,GEN 2:17,NA,NA,NA,,77,
GEN 2:18__NA,GEN 2:18,NA,NA,NA,,78,
GEN 2:19__heaven_2_4,GEN 2:19,heaven_2_4,heaven_2,sky,1,79,birds of the sky
GEN 2:20__heaven_2_4,GEN 2:20,heaven_2_4,heaven_2,sky,1,80,birds of the sky
GEN 2:21__NA,GEN 2:21,NA,NA,NA,,81,
GEN 2:22__NA,GEN 2:22,NA,NA,NA,,82,
GEN 2:23__NA,GEN 2:23,NA,NA,NA,,83,
GEN 2:24__NA,GEN 2:24,NA,NA,NA,,84,
GEN 2:25__NA,GEN 2:25,NA,NA,NA,,85,
GEN 3:1__The Garden_1_1,GEN 3:1,The Garden_1_1,The Garden_1,garden,1,86,
GEN 3:2__The Garden_1_1,GEN 3:2,The Garden_1_1,The Garden_1,garden,1,87,
GEN 3:3__The Garden_1_1,GEN 3:3,The Garden_1_1,The Garden_1,garden,1,88,
GEN 3:4__NA,GEN 3:4,NA,NA,NA,,89,
GEN 3:5__NA,GEN 3:5,NA,NA,NA,,90,
GEN 3:6__NA,GEN 3:6,NA,NA,NA,,91,
GEN 3:7__NA,GEN 3:7,NA,NA,NA,,92,
GEN 3:8__The Garden_1_1,GEN 3:8,The Garden_1_1,The Garden_1,garden,1,93,
GEN 3:9__NA,GEN 3:9,NA,NA,NA,,94,
GEN 3:10__The Garden_1_1,GEN 3:10,The Garden_1_1,The Garden_1,garden,1,95,
GEN 3:11__NA,GEN 3:11,NA,NA,NA,,96,
GEN 3:12__NA,GEN 3:12,NA,NA,NA,,97,
GEN 3:13__NA,GEN 3:13,NA,NA,NA,,98,
GEN 3:14__NA,GEN 3:14,NA,NA,NA,,99,
GEN 3:15__NA,GEN 3:15,NA,NA,NA,,100,
GEN 3:16__NA,GEN 3:16,NA,NA,NA,,101,
GEN 3:17__NA,GEN 3:17,NA,NA,NA,,102,
GEN 3:18__NA,GEN 3:18,NA,NA,NA,,103,
GEN 3:19__NA,GEN 3:19,NA,NA,NA,,104,
GEN 3:20__NA,GEN 3:20,NA,NA,NA,,105,
GEN 3:21__NA,GEN 3:21,NA,NA,NA,,106,
GEN 3:22__NA,GEN 3:22,NA,NA,NA,,107,
GEN 3:23__The Garden_1_2,GEN 3:23,The Garden_1_2,The Garden_1,the garden of Eden,1,108,
GEN 3:24__The Garden_1_2,GEN 3:24,The Garden_1_2,The Garden_1,the garden of Eden,1,109,east of the garden of Eden
GEN 4:1__NA,GEN 4:1,NA,NA,NA,,110,
GEN 4:2__NA,GEN 4:2,NA,NA,NA,,111,
GEN 4:3__NA,GEN 4:3,NA,NA,NA,,112,
GEN 4:4__NA,GEN 4:4,NA,NA,NA,,113,
GEN 4:5__NA,GEN 4:5,NA,NA,NA,,114,
GEN 4:6__NA,GEN 4:6,NA,NA,NA,,115,
GEN 4:7__NA,GEN 4:7,NA,NA,NA,,116,
GEN 4:8__NA,GEN 4:8,NA,NA,NA,,117,
GEN 4:9__NA,GEN 4:9,NA,NA,NA,,118,
GEN 4:10__NA,GEN 4:10,NA,NA,NA,,119,
GEN 4:11__NA,GEN 4:11,NA,NA,NA,,120,
GEN 4:12__earth_2_2,GEN 4:12,earth_2_2,earth_2,earth,1,121,
GEN 4:13__NA,GEN 4:13,NA,NA,NA,,122,
GEN 4:14__earth_2_2,GEN 4:14,earth_2_2,earth_2,earth,1,123,
GEN 4:15__NA,GEN 4:15,NA,NA,NA,,124,
GEN 4:16__Nod_1_1,GEN 4:16,Nod_1_1,Nod_1,Nod,1,125,
GEN 4:16__Eden_1_1,GEN 4:16,Eden_1_1,Eden_1,Eden,1,126,east of Eden
GEN 4:17__Enoch_1_1,GEN 4:17,Enoch_1_1,Enoch_1,Enoch,1,127,
GEN 4:18__NA,GEN 4:18,NA,NA,NA,,128,
GEN 4:19__NA,GEN 4:19,NA,NA,NA,,129,
GEN 4:20__NA,GEN 4:20,NA,NA,NA,,130,
GEN 4:21__NA,GEN 4:21,NA,NA,NA,,131,
GEN 4:22__NA,GEN 4:22,NA,NA,NA,,132,
GEN 4:23__NA,GEN 4:23,NA,NA,NA,,133,
GEN 4:24__NA,GEN 4:24,NA,NA,NA,,134,
GEN 4:25__NA,GEN 4:25,NA,NA,NA,,135,
GEN 4:26__NA,GEN 4:26,NA,NA,NA,,136,
GEN 5:1__NA,GEN 5:1,NA,NA,NA,,137,
GEN 5:2__NA,GEN 5:2,NA,NA,NA,,138,
GEN 5:3__NA,GEN 5:3,NA,NA,NA,,139,
GEN 5:4__NA,GEN 5:4,NA,NA,NA,,140,
GEN 5:5__NA,GEN 5:5,NA,NA,NA,,141,
GEN 5:6__NA,GEN 5:6,NA,NA,NA,,142,
GEN 5:7__NA,GEN 5:7,NA,NA,NA,,143,
GEN 5:8__NA,GEN 5:8,NA,NA,NA,,144,
GEN 5:9__NA,GEN 5:9,NA,NA,NA,,145,
GEN 5:10__NA,GEN 5:10,NA,NA,NA,,146,
GEN 5:11__NA,GEN 5:11,NA,NA,NA,,147,
GEN 5:12__NA,GEN 5:12,NA,NA,NA,,148,
GEN 5:13__NA,GEN 5:13,NA,NA,NA,,149,
GEN 5:14__NA,GEN 5:14,NA,NA,NA,,150,
GEN 5:15__NA,GEN 5:15,NA,NA,NA,,151,
GEN 5:16__NA,GEN 5:16,NA,NA,NA,,152,
GEN 5:17__NA,GEN 5:17,NA,NA,NA,,153,
GEN 5:18__NA,GEN 5:18,NA,NA,NA,,154,
GEN 5:19__NA,GEN 5:19,NA,NA,NA,,155,
GEN 5:20__NA,GEN 5:20,NA,NA,NA,,156,
GEN 5:21__NA,GEN 5:21,NA,NA,NA,,157,
GEN 5:22__NA,GEN 5:22,NA,NA,NA,,158,
GEN 5:23__NA,GEN 5:23,NA,NA,NA,,159,
GEN 5:24__NA,GEN 5:24,NA,NA,NA,,160,
GEN 5:25__NA,GEN 5:25,NA,NA,NA,,161,
GEN 5:26__NA,GEN 5:26,NA,NA,NA,,162,
GEN 5:27__NA,GEN 5:27,NA,NA,NA,,163,
GEN 5:28__NA,GEN 5:28,NA,NA,NA,,164,
GEN 5:29__NA,GEN 5:29,NA,NA,NA,,165,
GEN 5:30__NA,GEN 5:30,NA,NA,NA,,166,
GEN 5:31__NA,GEN 5:31,NA,NA,NA,,167,
GEN 5:32__NA,GEN 5:32,NA,NA,NA,,168,
GEN 6:1__NA,GEN 6:1,NA,NA,NA,,169,
GEN 6:2__NA,GEN 6:2,NA,NA,NA,,170,
GEN 6:3__NA,GEN 6:3,NA,NA,NA,,171,
GEN 6:4__Earth_1_1,GEN 6:4,Earth_1_1,Earth_1,Earth,1,172,Earth (planet) rather than earth (dry land) since they were not constrained to only the land
GEN 6:5__Earth_1_1,GEN 6:5,Earth_1_1,Earth_1,Earth,1,173,Earth (planet) rather than earth (dry land) since they were not constrained to only the land
GEN 6:6__Earth_1_1,GEN 6:6,Earth_1_1,Earth_1,Earth,1,174,Earth (planet) rather than earth (dry land) since they were not constrained to only the land
GEN 6:7__heaven_2_4,GEN 6:7,heaven_2_4,heaven_2,sky,1,175,birds of the sky
GEN 6:8__NA,GEN 6:8,NA,NA,NA,,176,
GEN 6:9__NA,GEN 6:9,NA,NA,NA,,177,
GEN 6:10__NA,GEN 6:10,NA,NA,NA,,178,
GEN 6:11__Earth_1_1,GEN 6:11,Earth_1_1,Earth_1,Earth,2,179,Earth (planet) rather than earth (dry land) since they were not constrained to only the land
GEN 6:12__Earth_1_1,GEN 6:12,Earth_1_1,Earth_1,Earth,2,180,Earth (planet) rather than earth (dry land) since they were not constrained to only the land
GEN 6:13__Earth_1_1,GEN 6:13,Earth_1_1,Earth_1,Earth,2,181,Earth (planet) rather than earth (dry land) since they were not constrained to only the land
GEN 6:14__NA,GEN 6:14,NA,NA,NA,,182,
GEN 6:15__NA,GEN 6:15,NA,NA,NA,,183,
GEN 6:16__NA,GEN 6:16,NA,NA,NA,,184,
GEN 6:17__earth_2_2,GEN 6:17,earth_2_2,earth_2,earth,2,185,
GEN 6:17__heaven_2_1,GEN 6:17,heaven_2_1,heaven_2,heaven,1,186,
GEN 6:18__NA,GEN 6:18,NA,NA,NA,,187,
GEN 6:19__NA,GEN 6:19,NA,NA,NA,,188,
GEN 6:20__NA,GEN 6:20,NA,NA,NA,,189,
GEN 6:21__NA,GEN 6:21,NA,NA,NA,,190,
GEN 6:22__NA,GEN 6:22,NA,NA,NA,,191,
GEN 7:1__NA,GEN 7:1,NA,NA,NA,,192,
GEN 7:2__NA,GEN 7:2,NA,NA,NA,,193,
GEN 7:3__heaven_2_4,GEN 7:3,heaven_2_4,heaven_2,sky,1,194,birds of the sky
GEN 7:3__earth_2_2,GEN 7:3,earth_2_2,earth_2,earth,1,195,face of the earth
GEN 7:4__earth_2_2,GEN 7:4,earth_2_2,earth_2,earth,1,196,
GEN 7:5__NA,GEN 7:5,NA,NA,NA,,197,
GEN 7:6__Earth_1_1,GEN 7:6,Earth_1_1,Earth_1,Earth,1,198,Earth (planet) rather than earth (dry land) since the rain was not limited to only the land
GEN 7:7__NA,GEN 7:7,NA,NA,NA,,199,
GEN 7:8__NA,GEN 7:8,NA,NA,NA,,200,
GEN 7:9__NA,GEN 7:9,NA,NA,NA,,201,
GEN 7:10__Earth_1_1,GEN 7:10,Earth_1_1,Earth_1,Earth,1,202,Earth (planet) rather than earth (dry land) since the rain was not limited to only the land
GEN 7:11__heaven_2_4,GEN 7:11,heaven_2_4,heaven_2,sky,1,203,floodgates of the sky
GEN 7:12__Earth_1_1,GEN 7:12,Earth_1_1,Earth_1,Earth,1,204,Earth (planet) rather than earth (dry land) since the rain was not limited to only the land
GEN 7:13__NA,GEN 7:13,NA,NA,NA,,205,
GEN 7:14__earth_2_2,GEN 7:14,earth_2_2,earth_2,earth,1,206,
GEN 7:15__NA,GEN 7:15,NA,NA,NA,,207,
GEN 7:16__NA,GEN 7:16,NA,NA,NA,,208,
GEN 7:17__Earth_1_1,GEN 7:17,Earth_1_1,Earth_1,Earth,1,209,Earth (planet) rather than earth (dry land) since the rain was not limited to only the land
GEN 7:17__earth_2_2,GEN 7:17,earth_2_2,earth_2,earth,1,210,the land rather than the planet
GEN 7:18__earth_2_2,GEN 7:18,earth_2_2,earth_2,earth,1,211,the land rather than the planet
GEN 7:19__earth_2_2,GEN 7:19,earth_2_2,earth_2,earth,1,212,the land rather than the planet
GEN 7:19__heaven_2_1,GEN 7:19,heaven_2_1,heaven_2,heaven,1,213,assuming the Flood was limited to Earth and wasn't a universal event
GEN 7:20__NA,GEN 7:20,NA,NA,NA,,214,
GEN 7:21__earth_2_2,GEN 7:21,earth_2_2,earth_2,earth,2,215,the land rather than the planet
GEN 7:22__earth_2_2,GEN 7:22,earth_2_2,earth_2,dry land,1,216,
GEN 7:23__heaven_2_4,GEN 7:23,heaven_2_4,heaven_2,sky,1,217,birds of the sky
GEN 7:23__earth_2_2,GEN 7:23,earth_2_2,earth_2,earth,2,218,the land rather than the planet
GEN 7:24__earth_2_2,GEN 7:24,earth_2_2,earth_2,earth,1,219,the land rather than the planet
GEN 8:1__Earth_1_1,GEN 8:1,Earth_1_1,Earth_1,Earth,1,220,Earth (planet) rather than earth (dry land).  The wind couldn't have blown on the land since it was covered with water.
GEN 8:2__heaven_2_4,GEN 8:2,heaven_2_4,heaven_2,sky,2,221,"floodgates of the sky, the rain from the sky"
GEN 8:3__earth_2_2,GEN 8:3,earth_2_2,earth_2,earth,1,222,the land rather than the planet.  Assuming the planet did not lose any water.
GEN 8:4__Ararat_1_1,GEN 8:4,Ararat_1_1,Ararat_1,Ararat,1,223,mountains of Ararat
GEN 8:5__NA,GEN 8:5,NA,NA,NA,,224,
GEN 8:6__NA,GEN 8:6,NA,NA,NA,,225,
GEN 8:7__earth_2_2,GEN 8:7,earth_2_2,earth_2,earth,1,226,the land rather than the planet
GEN 8:8__NA,GEN 8:8,NA,NA,NA,,227,
GEN 8:9__earth_2_2,GEN 8:9,earth_2_2,earth_2,earth,1,228,the land rather than the planet
GEN 8:10__NA,GEN 8:10,NA,NA,NA,,229,
GEN 8:11__earth_2_2,GEN 8:11,earth_2_2,earth_2,earth,1,230,the land rather than the planet
GEN 8:12__NA,GEN 8:12,NA,NA,NA,,231,
GEN 8:13__earth_2_2,GEN 8:13,earth_2_2,earth_2,earth,1,232,the land rather than the planet
GEN 8:14__earth_2_2,GEN 8:14,earth_2_2,earth_2,earth,1,233,the land rather than the planet
GEN 8:15__NA,GEN 8:15,NA,NA,NA,,234,
GEN 8:16__NA,GEN 8:16,NA,NA,NA,,235,
GEN 8:17__earth_2_2,GEN 8:17,earth_2_2,earth_2,earth,2,236,the land rather than the planet
GEN 8:18__NA,GEN 8:18,NA,NA,NA,,237,
GEN 8:19__earth_2_2,GEN 8:19,earth_2_2,earth_2,earth,1,238,the land rather than the planet
GEN 8:20__NA,GEN 8:20,NA,NA,NA,,239,
GEN 8:21__NA,GEN 8:21,NA,NA,NA,,240,
GEN 8:22__Earth_1_1,GEN 8:22,Earth_1_1,Earth_1,Earth,1,241,Earth (planet) rather than earth (dry land)
GEN 9:1__earth_2_2,GEN 9:1,earth_2_2,earth_2,earth,1,242,the land rather than the planet
GEN 9:2__earth_2_2,GEN 9:2,earth_2_2,earth_2,earth,1,243,beasts of the earth
GEN 9:2__earth_2_2,GEN 9:2,earth_2_2,earth_2,earth,1,244,beasts of the earth
GEN 9:2__heaven_2_4,GEN 9:2,heaven_2_4,heaven_2,sky,1,245,birds of the sky
